iter	Passed	Remaining
0	1	1019
1	2	1001
2	3	1026
3	4	1105
4	5	1168
5	6	1147
6	7	1130
7	8	1110
8	10	1117
9	11	1113
10	12	1110
11	13	1122
12	14	1128
13	16	1133
14	18	1192
15	19	1190
16	20	1194
17	22	1200
18	23	1202
19	24	1202
20	26	1214
21	27	1214
22	28	1231
23	30	1251
24	31	1246
25	33	1246
26	34	1236
27	35	1239
28	37	1240
29	39	1280
30	40	1280
31	42	1275
32	43	1268
33	44	1266
34	45	1266
35	47	1272
36	49	1277
37	50	1270
38	51	1271
39	54	1298
40	55	1299
41	57	1300
42	58	1291
43	59	1288
44	60	1283
45	61	1279
46	63	1280
47	64	1275
48	65	1274
49	66	1272
50	68	1273
51	69	1269
52	70	1265
53	72	1262
54	73	1265
55	74	1264
56	76	1262
57	77	1259
58	78	1249
59	79	1246
60	80	1240
61	82	1242
62	83	1238
63	84	1238
64	86	1240
65	87	1238
66	88	1236
67	90	1235
68	91	1234
69	92	1232
70	94	1230
71	95	1230
72	96	1228
73	98	1229
74	99	1229
75	100	1226
76	102	1224
77	103	1221
78	104	1218
79	105	1214
80	107	1214
81	108	1213
82	109	1213
83	111	1212
84	112	1211
85	113	1211
86	115	1208
87	116	1204
88	117	1202
89	118	1201
90	120	1201
91	121	1199
92	125	1221
93	126	1223
94	128	1220
95	129	1219
96	130	1214
97	131	1207
98	132	1207
99	133	1203
100	134	1200
101	135	1195
102	137	1198
103	138	1195
104	140	1196
105	141	1192
106	142	1190
107	144	1190
108	145	1187
109	146	1185
110	147	1184
111	149	1182
112	150	1182
113	151	1180
114	153	1181
115	155	1185
116	156	1184
117	158	1182
118	159	1179
119	160	1177
120	161	1173
121	162	1170
122	164	1172
123	165	1169
124	166	1167
125	168	1165
126	169	1163
127	171	1168
128	172	1167
129	174	1165
130	175	1162
131	176	1160
132	178	1161
133	179	1159
134	180	1158
135	182	1157
136	183	1157
137	184	1154
138	186	1152
139	187	1149
140	188	1150
141	190	1152
142	192	1151
143	193	1152
144	195	1151
145	196	1149
146	197	1147
147	198	1144
148	199	1141
149	201	1140
150	203	1142
151	204	1141
152	205	1139
153	207	1137
154	208	1135
155	209	1131
156	210	1130
157	211	1129
158	213	1128
159	214	1126
160	215	1123
161	217	1122
162	218	1122
163	219	1120
164	220	1118
165	222	1115
166	223	1115
167	224	1113
168	225	1111
169	227	1110
170	228	1108
171	230	1107
172	231	1106
173	232	1104
174	233	1102
175	235	1100
176	236	1099
177	237	1097
178	238	1094
179	239	1091
180	240	1089
181	241	1087
182	243	1085
183	244	1083
184	245	1081
185	246	1079
186	247	1077
187	248	1075
188	250	1073
189	251	1071
190	252	1069
191	253	1066
192	254	1064
193	255	1063
194	257	1061
195	258	1059
196	260	1062
197	261	1060
198	263	1059
199	264	1058
200	265	1056
201	266	1054
202	268	1052
203	269	1050
204	270	1049
205	271	1047
206	273	1045
207	274	1043
208	275	1043
209	277	1045
210	278	1042
211	280	1041
212	281	1038
213	282	1037
214	283	1034
215	284	1032
216	286	1032
217	287	1031
218	288	1029
219	290	1028
220	291	1026
221	292	1024
222	293	1022
223	294	1021
224	295	1019
225	297	1018
226	298	1016
227	301	1020
228	302	1019
229	303	1017
230	305	1015
231	306	1015
232	308	1015
233	309	1014
234	311	1012
235	312	1011
236	315	1015
237	316	1014
238	318	1012
239	319	1011
240	320	1010
241	322	1008
242	323	1006
243	324	1004
244	325	1001
245	326	1001
246	330	1006
247	331	1005
248	333	1005
249	334	1004
250	336	1003
251	337	1001
252	338	999
253	339	996
254	341	996
255	342	995
256	343	993
257	344	991
258	345	989
259	346	986
260	347	984
261	348	982
262	349	979
263	350	977
264	352	976
265	353	975
266	355	977
267	358	979
268	359	977
269	362	981
270	364	979
271	365	978
272	367	977
273	368	976
274	370	975
275	371	974
276	372	972
277	373	970
278	374	968
279	376	967
280	377	965
281	378	963
282	379	961
283	380	959
284	381	958
285	382	956
286	383	953
287	385	952
288	386	949
289	387	947
290	388	945
291	389	943
292	390	941
293	391	939
294	392	937
295	393	935
296	394	934
297	395	932
298	396	930
299	397	928
300	398	926
301	399	924
302	401	922
303	402	920
304	403	918
305	404	916
306	405	914
307	406	912
308	407	910
309	408	908
310	409	906
311	410	904
312	411	902
313	412	900
314	413	898
315	414	897
316	415	895
317	416	893
318	417	891
319	418	889
320	419	887
321	420	886
322	421	884
323	422	882
324	424	880
325	425	878
326	426	877
327	427	875
328	428	873
329	429	871
330	430	870
331	431	868
332	432	867
333	433	865
334	435	863
335	436	862
336	437	860
337	438	859
338	439	857
339	441	856
340	442	854
341	443	852
342	444	850
343	445	849
344	446	847
345	447	845
346	448	843
347	449	842
348	450	840
349	451	838
350	452	836
351	453	834
352	454	833
353	455	831
354	456	830
355	458	828
356	459	827
357	460	825
358	461	824
359	462	822
360	464	821
361	465	819
362	466	818
363	467	817
364	469	816
365	469	814
366	471	812
367	472	810
368	473	809
369	474	807
370	475	806
371	476	805
372	478	803
373	479	802
374	480	800
375	481	799
376	482	798
377	483	796
378	485	794
379	486	792
380	487	791
381	488	789
382	489	787
383	490	786
384	491	784
385	492	783
386	493	781
387	494	780
388	496	779
389	497	778
390	499	777
391	500	776
392	501	774
393	503	773
394	504	772
395	505	771
396	507	770
397	508	768
398	508	766
399	509	764
400	511	763
401	512	762
402	513	760
403	514	759
404	515	757
405	516	756
406	518	756
407	521	756
408	523	756
409	525	756
410	526	754
411	535	764
412	536	762
413	538	762
414	540	761
415	541	760
416	542	758
417	543	756
418	544	755
419	545	753
420	546	752
421	547	750
422	549	748
423	550	747
424	551	745
425	552	743
426	553	742
427	554	741
428	556	740
429	557	738
430	558	736
431	559	735
432	560	733
433	561	732
434	562	731
435	563	729
436	564	727
437	565	726
438	567	724
439	568	723
440	569	721
441	570	719
442	571	718
443	572	716
444	573	715
445	574	713
446	575	712
447	576	710
448	577	708
449	579	707
450	580	706
451	580	704
452	582	703
453	584	703
454	585	701
455	586	699
456	587	698
457	588	696
458	589	695
459	590	693
460	592	692
461	593	691
462	594	689
463	595	688
464	597	687
465	598	685
466	599	684
467	600	682
468	601	681
469	602	679
470	603	677
471	604	676
472	605	674
473	606	673
474	607	671
475	608	670
476	609	668
477	610	667
478	611	665
479	612	664
480	614	662
481	615	661
482	616	659
483	617	657
484	618	656
485	619	655
486	620	653
487	621	652
488	622	651
489	623	649
490	625	648
491	626	646
492	627	645
493	629	644
494	630	643
495	631	642
496	633	640
497	635	640
498	636	639
499	638	638
500	639	637
501	642	636
502	643	635
503	644	634
504	645	633
505	647	631
506	648	630
507	649	629
508	651	628
509	652	626
510	653	625
511	656	625
512	658	625
513	659	624
514	661	623
515	663	622
516	664	620
517	666	619
518	667	618
519	670	618
520	671	617
521	672	616
522	674	615
523	676	614
524	679	615
525	684	616
526	685	615
527	687	614
528	688	612
529	689	611
530	691	610
531	692	609
532	693	608
533	695	606
534	696	605
535	698	604
536	699	603
537	702	603
538	703	602
539	705	600
540	706	599
541	708	598
542	709	596
543	710	595
544	711	594
545	715	594
546	716	593
547	717	592
548	718	590
549	720	589
550	721	588
551	722	586
552	724	585
553	725	583
554	727	583
555	728	582
556	730	580
557	731	579
558	732	577
559	734	576
560	735	575
561	737	574
562	738	572
563	739	571
564	740	570
565	741	568
566	743	567
567	744	566
568	745	564
569	746	563
570	748	562
571	749	560
572	750	559
573	751	557
574	752	556
575	753	554
576	755	553
577	757	552
578	758	551
579	759	549
580	760	548
581	761	547
582	763	545
583	764	544
584	765	542
585	766	541
586	767	540
587	768	538
588	770	537
589	771	535
590	772	534
591	773	533
592	774	531
593	776	530
594	777	529
595	779	528
596	780	526
597	781	525
598	782	523
599	783	522
600	784	521
601	785	519
602	787	518
603	788	517
604	789	515
605	791	514
606	792	512
607	793	511
608	794	510
609	795	508
610	797	507
611	798	506
612	799	504
613	800	503
614	801	501
615	802	500
616	804	499
617	805	498
618	806	496
619	808	495
620	809	494
621	811	492
622	812	491
623	812	489
624	814	488
625	815	486
626	816	485
627	817	484
628	819	483
629	820	481
630	821	480
631	822	479
632	824	477
633	825	476
634	826	475
635	828	474
636	829	472
637	830	471
638	832	470
639	833	468
640	834	467
641	835	465
642	837	464
643	838	463
644	839	462
645	840	460
646	841	459
647	842	457
648	844	456
649	845	455
650	846	453
651	848	452
652	849	451
653	850	450
654	852	448
655	853	447
656	854	445
657	855	444
658	856	443
659	857	441
660	859	440
661	860	439
662	861	438
663	863	436
664	865	436
665	866	434
666	868	433
667	869	432
668	870	430
669	872	429
670	873	428
671	874	426
672	876	425
673	877	424
674	878	423
675	880	421
676	881	420
677	882	419
678	884	417
679	885	416
680	886	415
681	887	413
682	888	412
683	889	411
684	891	409
685	892	408
686	893	407
687	894	405
688	895	404
689	897	403
690	897	401
691	899	400
692	900	398
693	901	397
694	902	396
695	904	394
696	905	393
697	907	392
698	908	391
699	909	389
700	911	388
701	912	387
702	913	385
703	914	384
704	916	383
705	917	382
706	919	381
707	921	379
708	922	378
709	923	377
710	925	376
711	926	374
712	927	373
713	928	371
714	929	370
715	930	369
716	931	367
717	932	366
718	934	365
719	936	364
720	937	362
721	938	361
722	940	360
723	941	358
724	942	357
725	943	356
726	944	354
727	946	353
728	948	352
729	950	351
730	952	350
731	953	349
732	954	347
733	955	346
734	957	345
735	960	344
736	962	343
737	963	342
738	965	341
739	967	339
740	968	338
741	969	337
742	970	335
743	972	334
744	973	333
745	975	332
746	977	331
747	979	329
748	980	328
749	982	327
750	983	326
751	985	324
752	986	323
753	987	322
754	989	320
755	991	319
756	992	318
757	994	317
758	996	316
759	998	315
760	999	313
761	1000	312
762	1002	311
763	1003	310
764	1005	308
765	1007	307
766	1008	306
767	1009	305
768	1010	303
769	1012	302
770	1014	301
771	1015	299
772	1016	298
773	1019	297
774	1020	296
775	1022	295
776	1023	293
777	1024	292
778	1026	291
779	1027	289
780	1028	288
781	1030	287
782	1031	285
783	1032	284
784	1034	283
785	1035	281
786	1036	280
787	1037	279
788	1038	277
789	1040	276
790	1041	275
791	1042	273
792	1043	272
793	1044	271
794	1045	269
795	1046	268
796	1048	266
797	1049	265
798	1050	264
799	1051	262
800	1052	261
801	1053	260
802	1055	258
803	1056	257
804	1058	256
805	1059	254
806	1060	253
807	1061	252
808	1062	250
809	1063	249
810	1065	248
811	1067	247
812	1068	245
813	1070	244
814	1071	243
815	1072	241
816	1073	240
817	1074	238
818	1075	237
819	1076	236
820	1078	235
821	1079	233
822	1081	232
823	1082	231
824	1083	229
825	1084	228
826	1085	227
827	1086	225
828	1087	224
829	1089	223
830	1090	221
831	1091	220
832	1092	219
833	1093	217
834	1094	216
835	1095	214
836	1097	213
837	1098	212
838	1099	211
839	1100	209
840	1101	208
841	1102	206
842	1103	205
843	1104	204
844	1106	202
845	1107	201
846	1108	200
847	1109	198
848	1110	197
849	1111	196
850	1112	194
851	1113	193
852	1114	192
853	1115	190
854	1116	189
855	1117	188
856	1118	186
857	1119	185
858	1120	183
859	1121	182
860	1122	181
861	1123	179
862	1124	178
863	1125	177
864	1126	175
865	1127	174
866	1128	173
867	1129	171
868	1130	170
869	1131	169
870	1132	167
871	1133	166
872	1134	165
873	1135	163
874	1137	162
875	1137	161
876	1138	159
877	1139	158
878	1141	157
879	1142	155
880	1143	154
881	1144	153
882	1144	151
883	1145	150
884	1146	149
885	1147	147
886	1148	146
887	1150	145
888	1150	143
889	1152	142
890	1153	141
891	1154	139
892	1155	138
893	1156	137
894	1157	135
895	1158	134
896	1160	133
897	1162	131
898	1163	130
899	1165	129
900	1167	128
901	1168	126
902	1169	125
903	1172	124
904	1174	123
905	1175	121
906	1176	120
907	1178	119
908	1179	118
909	1180	116
910	1182	115
911	1183	114
912	1186	113
913	1187	111
914	1188	110
915	1190	109
916	1191	107
917	1193	106
918	1194	105
919	1195	103
920	1196	102
921	1197	101
922	1199	100
923	1201	98
924	1202	97
925	1204	96
926	1206	95
927	1207	93
928	1209	92
929	1210	91
930	1211	89
931	1212	88
932	1214	87
933	1215	85
934	1216	84
935	1218	83
936	1220	82
937	1221	80
938	1222	79
939	1223	78
940	1224	76
941	1226	75
942	1227	74
943	1229	72
944	1230	71
945	1231	70
946	1232	68
947	1233	67
948	1234	66
949	1235	65
950	1236	63
951	1238	62
952	1239	61
953	1240	59
954	1243	58
955	1245	57
956	1246	56
957	1247	54
958	1248	53
959	1250	52
960	1251	50
961	1252	49
962	1254	48
963	1255	46
964	1256	45
965	1257	44
966	1258	42
967	1260	41
968	1261	40
969	1262	39
970	1264	37
971	1265	36
972	1267	35
973	1268	33
974	1270	32
975	1271	31
976	1272	29
977	1273	28
978	1274	27
979	1275	26
980	1276	24
981	1277	23
982	1278	22
983	1279	20
984	1280	19
985	1281	18
986	1282	16
987	1283	15
988	1284	14
989	1286	12
990	1287	11
991	1288	10
992	1289	9
993	1290	7
994	1291	6
995	1292	5
996	1293	3
997	1294	2
998	1295	1
999	1298	0
